sofifa_id,short_name,age,dob,height_cm,weight_kg,nationality,club_name,league_name,league_rank,overall,potential,value_eur,wage_eur,international_reputation,weak_foot,skill_moves,release_clause_eur,team_jersey_number,contract_valid_until,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,player_position_encoded,is_goalkeeper,is_right_foot,is_left_foot
177683,Y. Sommer,31,1988-12-17,183,79,4.18404,4.3057,4.28582,1.0,86,86,17.16541,55000,3,4,1,17.7532,1.0,2023.0,80.0,86.0,85.0,85.0,51.0,87.0,13,13,10,40,8,15,12,13,31,25,48,54,55,84,58,64,73,45,68,12,38,21,15,64,24,57,19,12,80,86,85,87,85,33+3,33+3,33+3,32+0,34+0,34+0,34+0,32+0,36+3,36+3,36+3,34+3,37+3,37+3,37+3,34+3,31+3,34+3,34+3,34+3,31+3,30+3,29+3,29+3,29+3,30+3,64.50657574281539,1,1,0
193080,De Gea,29,1990-11-07,192,82,4.25221,4.36714,4.30551,1.0,86,86,17.2655,150000,4,3,1,17.85328,1.0,2023.0,88.0,81.0,78.0,89.0,58.0,82.0,17,13,21,50,13,18,21,19,47,38,57,58,63,83,43,59,67,43,60,12,38,30,12,61,29,65,21,13,88,81,78,82,89,35+3,35+3,35+3,36+0,38+0,38+0,38+0,36+0,41+3,41+3,41+3,39+3,42+3,42+3,42+3,39+3,36+3,40+3,40+3,40+3,36+3,35+3,34+3,34+3,34+3,35+3,64.50657574281539,1,1,0
230621,G. Donnarumma,21,1999-02-25,196,90,4.24431,4.31482,4.28315,1.0,85,92,17.5412,34000,3,3,1,18.12899,99.0,2021.0,89.0,81.0,76.0,89.0,50.0,83.0,12,12,12,34,8,28,12,14,24,28,46,54,64,79,38,57,72,34,72,18,30,26,14,50,24,68,14,16,89,81,76,83,89,33+3,33+3,33+3,33+0,34+0,34+0,34+0,33+0,35+3,35+3,35+3,33+3,33+3,33+3,33+3,33+3,30+3,32+3,32+3,32+3,30+3,30+3,31+3,31+3,31+3,30+3,64.50657574281539,1,1,0
192563,B. Leno,28,1992-03-04,190,82,4.20005,4.34656,4.30551,1.0,85,87,17.32706,105000,3,3,1,17.91484,1.0,2023.0,85.0,83.0,80.0,86.0,56.0,84.0,9,9,13,50,10,16,9,8,48,35,55,56,52,81,44,60,73,43,70,14,28,25,7,56,23,66,15,18,85,83,80,84,86,33+3,33+3,33+3,33+0,35+0,35+0,35+0,33+0,38+3,38+3,38+3,36+3,40+3,40+3,40+3,36+3,34+3,39+3,39+3,39+3,34+3,33+3,33+3,33+3,33+3,33+3,64.50657574281539,1,1,0
185122,P. Gulácsi,30,1990-05-06,191,86,4.22064,4.31795,4.28582,1.0,85,85,17.07361,65000,2,2,1,17.66139,1.0,2023.0,84.0,85.0,82.0,86.0,43.0,84.0,16,10,23,35,10,19,18,11,31,25,42,44,41,82,42,62,67,35,74,12,34,23,11,42,24,45,16,20,84,85,82,84,86,32+2,32+2,32+2,29+0,31+0,31+0,31+0,29+0,31+2,31+2,31+2,31+2,32+2,32+2,32+2,31+2,31+2,33+2,33+2,33+2,31+2,30+2,33+2,33+2,33+2,30+2,64.50657574281539,1,1,0
226753,A. Onana,24,1996-04-02,190,93,4.23254,4.31909,4.21003,1.0,84,88,17.21671,18000,3,3,1,17.80449,24.0,2022.0,84.0,80.0,87.0,86.0,63.0,82.0,15,12,20,33,13,26,30,17,32,38,64,62,68,84,53,65,80,39,78,17,32,15,11,64,27,61,18,14,84,80,87,82,86,36+3,36+3,36+3,37+0,38+0,38+0,38+0,37+0,40+3,40+3,40+3,38+3,38+3,38+3,38+3,38+3,32+3,33+3,33+3,33+3,32+3,31+3,31+3,31+3,31+3,31+3,64.50657574281539,1,1,0
189117,R. Bürki,29,1990-11-14,187,85,4.18404,4.33158,4.28582,1.0,84,85,17.03439,67000,3,2,1,17.62217,1.0,2023.0,85.0,82.0,72.0,88.0,47.0,82.0,15,8,17,37,13,12,13,12,24,23,44,50,49,82,52,54,74,36,75,14,35,18,10,50,20,58,13,16,85,82,72,82,88,30+3,30+3,30+3,28+0,30+0,30+0,30+0,28+0,32+3,32+3,32+3,30+3,32+3,32+3,32+3,30+3,28+3,30+3,30+3,30+3,28+3,28+3,29+3,29+3,29+3,28+3,64.50657574281539,1,1,0
163587,K. Schmeichel,33,1986-11-05,189,89,4.18398,4.33272,4.30551,1.0,84,84,16.64872,90000,2,3,1,17.23651,1.0,2023.0,82.0,77.0,83.0,89.0,54.0,79.0,18,12,16,44,15,12,13,15,46,40,50,58,61,81,47,62,60,34,64,14,35,20,13,59,26,67,14,13,82,77,83,79,89,34+2,34+2,34+2,34+0,36+0,36+0,36+0,34+0,39+2,39+2,39+2,36+2,39+2,39+2,39+2,36+2,32+2,36+2,36+2,36+2,32+2,31+2,30+2,30+2,30+2,31+2,64.50657574281539,1,1,0
168435,S. Sirigu,33,1987-01-12,192,80,4.24431,4.27751,4.28315,1.0,84,84,16.64872,54000,3,2,1,17.23651,39.0,2022.0,84.0,80.0,76.0,82.0,51.0,84.0,13,10,11,23,12,15,11,11,28,18,50,51,52,79,55,57,68,34,66,14,34,20,10,55,19,62,11,13,84,80,76,84,82,29+3,29+3,29+3,28+0,29+0,29+0,29+0,28+0,30+3,30+3,30+3,29+3,30+3,30+3,30+3,29+3,26+3,28+3,28+3,28+3,26+3,26+3,27+3,27+3,27+3,26+3,64.50657574281539,1,1,0
178005,Rui Patrício,32,1988-02-15,190,84,4.25992,4.25755,4.30551,1.0,84,84,16.75995,90000,3,2,1,17.34774,11.0,2022.0,84.0,80.0,77.0,83.0,55.0,82.0,12,12,11,34,16,20,10,16,32,25,53,57,61,79,54,58,79,45,77,11,37,23,13,64,32,66,13,11,84,80,77,82,83,32+3,32+3,32+3,32+0,34+0,34+0,34+0,32+0,36+3,36+3,36+3,34+3,35+3,35+3,35+3,34+3,30+3,33+3,33+3,33+3,30+3,29+3,30+3,30+3,30+3,29+3,64.50657574281539,1,0,1
212151,T. Strakosha,25,1995-03-19,193,78,4.19305,4.33749,4.28315,1.0,83,88,17.05419,57000,1,2,1,17.64198,1.0,2022.0,86.0,79.0,75.0,88.0,44.0,81.0,18,18,11,26,11,14,14,12,22,15,41,46,45,78,47,56,56,23,66,14,20,24,18,49,21,61,18,12,86,79,75,81,88,30+2,30+2,30+2,28+0,30+0,30+0,30+0,28+0,29+2,29+2,29+2,28+2,28+2,28+2,28+2,28+2,27+2,28+2,28+2,28+2,27+2,26+2,28+2,28+2,28+2,26+2,64.50657574281539,1,1,0
221087,Pau López,25,1994-12-13,189,77,4.25221,4.31275,4.28315,1.0,83,88,17.05419,52000,1,3,1,17.64198,13.0,2024.0,82.0,83.0,79.0,84.0,49.0,82.0,24,19,15,38,17,18,23,21,41,16,45,52,40,74,57,59,71,42,52,18,39,16,20,62,25,62,20,11,82,83,79,82,84,32+2,32+2,32+2,31+0,33+0,33+0,33+0,31+0,35+2,35+2,35+2,34+2,36+2,36+2,36+2,34+2,30+2,32+2,32+2,32+2,30+2,29+2,28+2,28+2,28+2,29+2,64.50657574281539,1,0,1
192984,K. Casteels,28,1992-06-25,197,86,4.2282,4.29592,4.28582,1.0,83,85,16.92903,53000,2,2,1,17.51681,1.0,2024.0,83.0,80.0,80.0,84.0,45.0,83.0,15,15,14,35,13,14,20,13,37,23,44,46,50,82,43,60,58,44,72,18,33,16,15,42,20,40,19,17,83,80,80,83,84,32+2,32+2,32+2,29+0,31+0,31+0,31+0,29+0,32+2,32+2,32+2,31+2,33+2,33+2,33+2,31+2,29+2,32+2,32+2,32+2,29+2,29+2,29+2,29+2,29+2,29+2,64.50657574281539,1,0,1
199482,A. Lopes,29,1990-10-01,184,81,4.25992,4.30892,4.26303,1.0,83,85,16.90655,69000,2,2,1,17.49434,1.0,2023.0,85.0,80.0,74.0,86.0,64.0,80.0,19,18,16,32,13,15,15,14,31,21,63,64,67,83,62,56,82,36,73,18,43,25,9,48,16,65,15,13,85,80,74,80,86,33+2,33+2,33+2,32+0,33+0,33+0,33+0,32+0,33+2,33+2,33+2,33+2,32+2,32+2,32+2,33+2,31+2,32+2,32+2,32+2,31+2,31+2,31+2,31+2,31+2,31+2,64.50657574281539,1,0,1
163705,S. Mandanda,35,1985-03-28,185,82,4.22209,4.29087,4.26303,1.0,83,83,15.76142,28000,3,3,1,16.34921,30.0,2024.0,81.0,81.0,78.0,84.0,48.0,81.0,14,13,13,46,13,19,13,12,36,27,53,43,52,82,36,59,74,31,61,7,37,23,11,55,11,64,15,13,81,81,78,81,84,32+3,32+3,32+3,32+0,34+0,34+0,34+0,32+0,36+3,36+3,36+3,34+3,36+3,36+3,36+3,34+3,30+3,34+3,34+3,34+3,30+3,29+3,29+3,29+3,29+3,29+3,64.50657574281539,1,1,0
188943,K. Trapp,29,1990-07-08,189,88,4.20005,4.28825,4.28582,1.0,83,83,16.73328,35000,2,4,1,17.32107,1.0,2024.0,82.0,78.0,79.0,85.0,49.0,83.0,13,13,11,25,12,10,14,12,12,24,45,52,42,82,37,59,75,45,73,13,30,22,12,46,17,62,14,10,82,78,79,83,85,30+2,30+2,30+2,27+0,30+0,30+0,30+0,27+0,29+2,29+2,29+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,64.50657574281539,1,1,0
190941,L. Hrádecký,30,1989-11-24,192,82,4.17772,4.33209,4.28582,1.0,83,83,16.67771,63000,2,3,1,17.2655,1.0,2023.0,85.0,78.0,69.0,87.0,41.0,83.0,11,11,11,30,9,10,11,15,33,20,38,44,43,82,39,52,69,34,55,14,31,18,9,53,20,48,10,13,85,78,69,83,87,27+2,27+2,27+2,26+0,29+0,29+0,29+0,26+0,30+2,30+2,30+2,28+2,31+2,31+2,31+2,28+2,26+2,28+2,28+2,28+2,26+2,25+2,25+2,25+2,25+2,25+2,64.50657574281539,1,1,0
193314,Aitor,29,1991-05-03,182,78,4.25221,4.29543,4.30119,1.0,83,83,16.73328,31000,1,2,1,17.32107,13.0,2023.0,84.0,78.0,74.0,86.0,55.0,81.0,30,12,20,38,15,22,34,14,35,14,58,53,70,83,48,56,82,42,48,12,15,24,15,48,24,55,13,12,84,78,74,81,86,31+2,31+2,31+2,33+0,32+0,32+0,32+0,33+0,34+2,34+2,34+2,34+2,33+2,33+2,33+2,34+2,32+2,30+2,30+2,30+2,32+2,31+2,26+2,26+2,26+2,31+2,64.50657574281539,1,1,0
220407,M. Dúbravka,31,1989-01-15,190,80,4.22962,4.30774,4.30551,1.0,83,83,16.61887,47000,1,2,1,17.20666,1.0,2025.0,79.0,80.0,81.0,86.0,46.0,82.0,12,10,12,48,11,19,15,13,45,35,49,44,47,77,60,61,75,40,60,17,28,25,12,55,20,59,15,14,79,80,81,82,86,32+2,32+2,32+2,32+0,35+0,35+0,35+0,32+0,38+2,38+2,38+2,35+2,40+2,40+2,40+2,35+2,32+2,36+2,36+2,36+2,32+2,30+2,30+2,30+2,30+2,30+2,64.50657574281539,1,1,0
193105,A. Areola,27,1993-02-27,195,94,4.22209,4.26183,4.30551,1.0,82,86,16.81124,93000,2,3,1,17.39903,1.0,2021.0,85.0,79.0,80.0,84.0,55.0,78.0,20,19,14,48,16,12,16,16,37,22,56,54,58,79,58,60,72,38,80,14,26,23,17,51,25,64,18,12,85,79,80,78,84,34+2,34+2,34+2,33+0,34+0,34+0,34+0,33+0,36+2,36+2,36+2,34+2,36+2,36+2,36+2,34+2,31+2,34+2,34+2,34+2,31+2,31+2,31+2,31+2,31+2,31+2,64.50657574281539,0,1,0
206585,Kepa,25,1994-10-03,186,88,4.25221,4.38467,4.30551,1.0,82,86,16.86003,76000,2,4,1,17.44782,1.0,2024.0,81.0,82.0,85.0,82.0,33.0,79.0,25,11,18,51,18,10,25,19,52,33,34,33,41,73,39,64,71,37,51,14,18,21,15,57,24,63,18,16,81,82,85,79,82,31+2,31+2,31+2,30+0,33+0,33+0,33+0,30+0,36+2,36+2,36+2,34+2,40+2,40+2,40+2,34+2,31+2,36+2,36+2,36+2,31+2,30+2,29+2,29+2,29+2,30+2,64.50657574281539,1,1,0
215698,M. Maignan,24,1995-07-03,191,91,4.22209,4.26311,4.26303,1.0,82,86,16.88356,31000,1,3,1,17.47135,16.0,2022.0,80.0,80.0,82.0,83.0,46.0,82.0,18,13,17,36,16,22,14,16,27,24,47,46,39,80,55,62,72,39,78,20,17,24,14,50,15,55,12,19,80,80,82,82,83,33+2,33+2,33+2,31+0,33+0,33+0,33+0,31+0,34+2,34+2,34+2,33+2,33+2,33+2,33+2,33+2,30+2,31+2,31+2,31+2,30+2,30+2,30+2,30+2,30+2,30+2,64.50657574281539,1,1,0
215316,G. Rulli,28,1992-05-20,189,84,4.23111,4.3262,4.30119,1.0,82,85,16.81124,35000,3,3,1,17.39903,13.0,2024.0,85.0,78.0,77.0,88.0,54.0,78.0,12,15,12,32,16,14,19,20,23,15,56,52,58,76,50,58,65,42,73,17,26,21,12,58,24,61,13,17,85,78,77,78,88,31+3,31+3,31+3,29+0,31+0,31+0,31+0,29+0,32+3,32+3,32+3,30+3,31+3,31+3,31+3,30+3,29+3,29+3,29+3,29+3,29+3,28+3,28+3,28+3,28+3,28+3,64.50657574281539,1,1,0
198009,M. Perin,27,1992-11-10,188,77,4.24431,4.26906,4.28315,1.0,82,84,16.73328,20000,2,3,1,17.32107,1.0,2022.0,82.0,82.0,71.0,87.0,56.0,79.0,11,11,12,33,19,19,15,13,31,23,57,56,70,77,30,53,75,30,52,17,25,19,12,44,21,65,12,19,82,82,71,79,87,30+2,30+2,30+2,31+0,32+0,32+0,32+0,31+0,33+2,33+2,33+2,31+2,31+2,31+2,31+2,31+2,29+2,29+2,29+2,29+2,29+2,29+2,27+2,27+2,27+2,29+2,64.50657574281539,1,1,0
209960,Pacheco,28,1992-05-18,186,81,4.25221,4.27625,4.30119,1.0,82,84,16.78593,28000,1,2,1,17.37371,1.0,2023.0,81.0,79.0,71.0,84.0,45.0,83.0,14,16,10,28,13,13,20,20,29,15,48,42,62,78,53,53,73,43,75,15,29,26,14,53,23,62,16,13,81,79,71,83,84,30+2,30+2,30+2,28+0,29+0,29+0,29+0,28+0,31+2,31+2,31+2,29+2,31+2,31+2,31+2,29+2,28+2,31+2,31+2,31+2,28+2,28+2,29+2,29+2,29+2,28+2,64.50657574281539,1,0,1
223952,David Soria,27,1993-04-04,192,85,4.25221,4.27414,4.30119,1.0,82,84,16.73328,30000,1,3,1,17.32107,13.0,2022.0,83.0,81.0,72.0,84.0,41.0,81.0,15,19,24,24,19,16,23,11,33,19,49,34,49,80,42,54,61,43,75,18,24,18,12,45,23,58,13,13,83,81,72,81,84,32+2,32+2,32+2,28+0,30+0,30+0,30+0,28+0,30+2,30+2,30+2,29+2,30+2,30+2,30+2,29+2,27+2,29+2,29+2,29+2,27+2,27+2,29+2,29+2,29+2,27+2,64.50657574281539,1,1,0
203841,N. Pope,28,1992-04-19,200,76,4.15705,4.26502,4.30551,1.0,82,83,16.73328,59000,1,3,1,17.32107,1.0,2023.0,79.0,81.0,75.0,84.0,48.0,83.0,11,14,11,32,14,15,13,12,35,24,50,47,36,75,42,56,72,37,73,15,36,21,13,43,22,62,15,14,79,81,75,83,84,31+2,31+2,31+2,28+0,30+0,30+0,30+0,28+0,31+2,31+2,31+2,30+2,32+2,32+2,32+2,30+2,28+2,31+2,31+2,31+2,28+2,27+2,29+2,29+2,29+2,27+2,64.50657574281539,1,1,0
236583,J. Pavlenka,28,1992-04-14,196,81,4.26077,4.26439,4.28582,1.0,82,83,16.73328,32000,1,3,1,17.32107,1.0,2022.0,84.0,76.0,68.0,87.0,36.0,76.0,11,16,14,28,19,12,10,14,17,19,35,37,39,80,27,51,36,20,68,17,22,13,14,25,18,39,10,14,84,76,68,76,87,29+2,29+2,29+2,25+0,27+0,27+0,27+0,25+0,26+2,26+2,26+2,24+2,24+2,24+2,24+2,24+2,23+2,24+2,24+2,24+2,23+2,23+2,24+2,24+2,24+2,23+2,64.50657574281539,1,1,0
1179,G. Buffon,42,1978-01-28,192,92,4.24431,4.36289,4.28315,1.0,82,82,14.60397,41000,4,2,1,15.19175,77.0,2021.0,77.0,76.0,74.0,78.0,33.0,91.0,13,15,13,37,17,26,20,13,35,28,37,30,55,80,49,56,71,34,69,13,38,28,12,50,22,70,11,11,77,76,74,91,78,31+3,31+3,31+3,30+0,33+0,33+0,33+0,30+0,34+3,34+3,34+3,32+3,35+3,35+3,35+3,32+3,28+3,33+3,33+3,33+3,28+3,26+3,29+3,29+3,29+3,26+3,64.50657574281539,0,1,0
178750,Sergio Asenjo,31,1989-06-28,189,87,4.25221,4.3262,4.30119,1.0,82,82,16.45457,34000,2,3,1,17.04235,1.0,2022.0,84.0,82.0,77.0,82.0,56.0,80.0,24,14,13,39,15,15,23,22,39,14,59,54,62,79,58,58,73,41,73,13,20,22,12,46,15,64,15,14,84,82,77,80,82,31+2,31+2,31+2,31+0,31+0,31+0,31+0,31+0,32+2,32+2,32+2,33+2,33+2,33+2,33+2,33+2,32+2,32+2,32+2,32+2,32+2,31+2,30+2,30+2,30+2,31+2,64.50657574281539,0,1,0
182494,F. Muslera,34,1986-06-16,190,74,4.21085,4.2932,4.22063,1.0,82,82,16.0668,64000,3,2,1,16.65459,1.0,2021.0,84.0,76.0,75.0,83.0,61.0,82.0,15,10,12,44,10,25,14,10,47,27,60,62,68,78,62,56,84,45,68,10,32,23,13,62,24,53,16,16,84,76,75,82,83,33+3,33+3,33+3,35+0,36+0,36+0,36+0,35+0,39+3,39+3,39+3,38+3,39+3,39+3,39+3,38+3,33+3,36+3,36+3,36+3,33+3,32+3,30+3,30+3,30+3,32+3,64.50657574281539,1,1,0
193698,O. Baumann,30,1990-06-02,187,82,4.20005,4.28531,4.28582,1.0,82,82,16.52356,37000,2,1,1,17.11135,1.0,2023.0,81.0,80.0,79.0,82.0,49.0,79.0,14,11,16,30,11,19,12,11,25,17,47,51,45,82,43,59,73,39,69,13,32,21,10,41,22,52,18,14,81,80,79,79,82,30+2,30+2,30+2,28+0,30+0,30+0,30+0,28+0,29+2,29+2,29+2,29+2,30+2,30+2,30+2,29+2,29+2,30+2,30+2,30+2,29+2,28+2,30+2,30+2,30+2,28+2,64.50657574281539,1,1,0
194404,Neto,30,1989-07-19,190,84,4.27572,4.38089,4.30119,1.0,82,82,16.52356,125000,2,2,1,17.11135,13.0,2023.0,84.0,79.0,78.0,80.0,54.0,79.0,11,15,14,36,12,19,12,13,41,24,56,52,59,78,49,59,83,41,63,20,40,15,11,42,22,64,14,15,84,79,78,79,80,32+2,32+2,32+2,31+0,32+0,32+0,32+0,31+0,33+2,33+2,33+2,32+2,34+2,34+2,34+2,32+2,29+2,32+2,32+2,32+2,29+2,29+2,29+2,29+2,29+2,29+2,64.50657574281539,0,1,0
201095,A. Marchesín,32,1988-03-16,188,85,4.23111,4.34337,4.2492,1.0,82,82,16.4182,16000,1,3,1,17.00599,32.0,2023.0,82.0,78.0,76.0,86.0,53.0,81.0,18,14,11,37,15,24,16,15,34,20,55,52,68,82,60,57,75,38,59,12,45,15,18,65,14,64,15,15,82,78,76,81,86,32+2,32+2,32+2,34+0,35+0,35+0,35+0,34+0,37+2,37+2,37+2,35+2,36+2,36+2,36+2,35+2,30+2,32+2,32+2,32+2,30+2,29+2,29+2,29+2,29+2,29+2,64.50657574281539,1,1,0
204120,T. Vaclík,31,1989-03-29,188,85,4.26077,4.34341,4.30119,1.0,82,82,16.45457,29000,1,3,1,17.04235,1.0,2021.0,82.0,76.0,76.0,85.0,37.0,81.0,15,14,19,17,13,14,17,16,38,20,36,37,36,79,56,57,73,38,73,16,29,23,15,68,13,60,18,18,82,76,76,81,85,30+2,30+2,30+2,27+0,30+0,30+0,30+0,27+0,31+2,31+2,31+2,29+2,33+2,33+2,33+2,29+2,27+2,31+2,31+2,31+2,27+2,27+2,30+2,30+2,30+2,27+2,64.50657574281539,1,1,0
